pgr_id,pgr_name,area_km2,mean_no2,mean_pm25,max_ageGroup,totalBuildings,max_ageGroupPercent,total_sealing_area,no_Imbiss,unique_f_streets,unique_m_streets,unique_streets_count,fStreets_percent,treeCount,population,response_time_ems_critical_mean,response_time_ems_critical_std,response_time_fire_time_to_first_pump_mean,response_time_fire_time_to_first_pump_std,total_anual_yield_gwh
1040,Kaulsdorf/Mahlsdorf,21.73,12.31,11.0,"('x1991_2000', 5228)",16055,32.6,37,15,3,104,107,2.8000000000000003,17417,50124,12.495714285714286,3.4842857142857144,11.028571428571428,2.2471428571428573,190
1110,Hohenschönhausen Nord,16.64,12.12,10.85,"('x1981_1990', 1458)",3065,47.599999999999994,21,27,5,11,16,31.2,18510,65631,11.578888888888889,3.535555555555556,12.645555555555555,3.3922222222222222,81
1120,Hohenschönhausen Süd,9.35,14.08,11.26,"('x1991_2000', 1013)",4120,24.6,52,32,8,31,39,20.5,10074,51968,10.714999999999998,3.4066666666666667,10.708333333333334,2.8000000000000003,130
1130,Lichtenberg Nord,9.54,16.09,11.16,"('x1971_1980', 633)",2516,25.2,56,41,3,49,52,5.800000000000001,26337,78911,10.063636363636364,3.3154545454545454,10.268181818181818,2.4181818181818184,155
1140,Lichtenberg Mitte,7.59,14.99,11.26,"('x1961_1970', 539)",3098,17.4,48,37,9,40,49,18.4,12588,80312,11.149090909090908,3.1654545454545455,11.234545454545454,2.136,96
1150,Lichtenberg Süd,8.98,12.92,10.8,"('x1931_1940', 836)",3612,23.1,45,4,14,39,53,26.4,8943,36309,11.455,3.825,11.965,3.05,81
1210,Reinickendorf Ost,7.56,16.48,11.06,"('x1921_1930', 861)",3618,23.799999999999997,52,41,1,43,44,2.3,14428,56796,10.486666666666666,3.16,10.683333333333332,2.9516666666666667,126
1220,Tegel,18.33,13.73,10.43,"('x1931_1940', 1247)",4585,27.200000000000003,36,96,5,65,70,7.1,9359,60664,10.823333333333332,3.5044444444444443,9.99375,3.005,163
1240,Grüner Norden,42.74,11.19,10.18,"('x1931_1940', 3286)",17307,19.0,18,29,3,41,44,6.800000000000001,37651,57337,11.86,3.89,12.6175,3.5475,147
1250,Wittenau/Borsigwalde,15.87,13.11,10.66,"('x1931_1940', 1570)",8503,18.5,36,40,2,64,66,3.0,18292,48851,10.672857142857143,3.6314285714285712,10.652857142857142,2.9657142857142853,165
1260,Märkisches Viertel,4.78,13.96,10.96,"('x1961_1970', 623)",2113,29.5,49,29,0,2,2,0.0,5375,50548,11.321666666666667,3.4283333333333332,10.816666666666668,3.188,73
